,time,mavros_armed_state
0,213.1,0.0
1,213.892,0.0
2,214.892,0.0
3,215.892,0.0
4,216.892,0.0
5,217.892,0.0
6,218.893,0.0
7,219.893,0.0
8,220.893,1.0
9,221.893,1.0
10,222.895,1.0
11,223.893,1.0
12,224.893,1.0
13,225.894,1.0
14,226.894,1.0
15,227.896,1.0
16,228.894,1.0
17,229.894,1.0
18,230.895,1.0
19,231.897,1.0
20,232.895,1.0
21,233.895,1.0
22,234.895,1.0
23,235.895,1.0
24,236.897,1.0
25,237.896,1.0
26,238.896,1.0
27,239.895,1.0
28,240.895,1.0
29,241.895,1.0
30,242.896,0.0
31,243.896,0.0
32,244.895,0.0
33,245.896,0.0
34,246.896,0.0
35,247.894,0.0
36,248.897,0.0
37,249.897,0.0
38,250.897,0.0
39,251.897,0.0
40,252.897,0.0
41,253.897,0.0
42,254.898,0.0
43,255.898,0.0
44,256.898,0.0
45,257.9,0.0
46,258.9,0.0
47,259.9,0.0
48,260.901,0.0
49,261.901,0.0
50,262.902,0.0
51,263.902,0.0
52,264.903,0.0
53,265.904,0.0
54,266.904,0.0
55,267.905,0.0
56,268.905,0.0
57,269.906,0.0
58,270.906,0.0
59,271.907,0.0
