,time,mavros_armed_state
0,72.282,0.0
1,72.404,0.0
2,73.404,0.0
3,74.404,0.0
4,75.405,0.0
5,76.405,1.0
6,77.405,1.0
7,78.406,1.0
8,79.406,1.0
9,80.406,1.0
10,81.407,1.0
11,82.407,1.0
12,83.407,1.0
13,84.408,1.0
14,85.408,1.0
15,86.409,1.0
16,87.409,1.0
17,88.409,1.0
18,89.41,1.0
19,90.41,1.0
20,91.41,1.0
21,92.411,1.0
22,93.412,1.0
23,94.411,1.0
24,95.412,1.0
25,96.412,1.0
26,97.411,1.0
27,98.412,1.0
28,99.413,1.0
29,100.413,1.0
30,101.415,1.0
31,102.414,1.0
32,103.415,1.0
33,104.415,1.0
34,105.415,1.0
35,106.417,1.0
36,107.416,1.0
37,108.417,1.0
38,109.417,1.0
39,110.417,1.0
40,111.416,1.0
41,112.417,1.0
42,113.418,1.0
43,114.418,1.0
44,115.42,1.0
45,116.419,1.0
46,117.419,1.0
47,118.42,1.0
48,119.421,1.0
49,120.424,1.0
50,121.42,1.0
51,122.421,1.0
52,123.421,1.0
53,124.421,1.0
54,125.422,1.0
55,126.422,1.0
56,127.422,1.0
57,128.423,1.0
58,129.422,1.0
59,130.423,1.0
60,131.423,1.0
61,132.424,1.0
62,133.423,1.0
63,134.425,1.0
64,135.424,1.0
65,136.378,1.0
66,137.424,1.0
67,138.424,1.0
68,139.073,1.0
69,139.425,1.0
70,140.425,1.0
71,141.426,1.0
72,142.424,1.0
73,143.426,1.0
74,144.426,1.0
75,145.426,1.0
76,146.426,0.0
77,147.426,0.0
78,148.424,0.0
79,149.426,0.0
80,150.426,0.0
81,151.427,0.0
