,time,mavros_armed_state
0,186.373,0.0
1,186.839,0.0
2,187.842,0.0
3,188.842,0.0
4,189.84,0.0
5,190.84,0.0
6,191.84,0.0
7,192.84,0.0
8,193.841,0.0
9,194.84,1.0
10,195.843,1.0
11,196.842,1.0
12,197.841,1.0
13,198.842,1.0
14,199.843,1.0
15,200.844,1.0
16,201.844,1.0
17,202.842,1.0
18,203.845,1.0
19,204.841,1.0
20,205.843,1.0
21,206.843,1.0
22,207.844,1.0
23,208.844,1.0
24,209.843,1.0
25,210.843,1.0
26,211.844,1.0
27,212.844,1.0
28,213.844,1.0
29,214.845,1.0
30,215.844,1.0
31,216.844,1.0
32,217.845,1.0
33,218.84,1.0
34,219.845,1.0
35,220.846,1.0
36,221.846,1.0
37,222.846,1.0
38,223.846,1.0
39,224.846,1.0
40,225.847,1.0
41,226.846,1.0
42,227.846,1.0
43,228.847,1.0
44,229.847,1.0
45,230.846,1.0
46,231.846,1.0
47,232.847,1.0
48,233.847,1.0
49,234.847,1.0
50,235.848,1.0
51,236.848,1.0
52,237.848,1.0
53,238.848,1.0
54,239.848,1.0
55,240.849,1.0
56,241.849,1.0
57,242.848,1.0
58,243.849,1.0
59,244.849,1.0
60,245.849,1.0
61,246.85,1.0
62,247.85,1.0
63,248.85,1.0
64,249.849,1.0
65,250.85,1.0
66,251.825,1.0
67,252.851,1.0
68,253.851,1.0
69,254.851,1.0
70,255.851,1.0
71,256.852,1.0
72,257.853,1.0
73,258.853,1.0
74,259.852,1.0
75,260.854,1.0
76,261.85,1.0
77,262.855,1.0
78,263.846,1.0
79,264.857,1.0
80,265.856,1.0
81,266.857,1.0
82,267.863,1.0
83,268.859,1.0
84,269.859,1.0
85,270.85,1.0
86,271.86,1.0
87,272.825,1.0
88,273.864,1.0
89,274.862,1.0
90,275.863,1.0
91,276.863,1.0
92,277.864,1.0
93,278.864,1.0
94,279.865,1.0
95,280.721,1.0
96,280.865,1.0
97,281.866,1.0
98,282.867,1.0
99,283.867,1.0
100,284.868,1.0
101,285.868,1.0
102,286.869,1.0
103,287.87,1.0
104,288.87,1.0
105,289.87,0.0
106,290.866,0.0
107,291.871,0.0
