,time,mavros_armed_state
0,111.33,0.0
1,112.292,0.0
2,113.293,0.0
3,114.293,0.0
4,115.293,0.0
5,116.294,0.0
6,117.294,1.0
7,118.294,1.0
8,119.295,1.0
9,120.295,1.0
10,121.295,1.0
11,122.298,1.0
12,123.299,1.0
13,124.297,1.0
14,125.301,1.0
15,126.298,1.0
16,127.298,1.0
17,128.299,1.0
18,129.3,1.0
19,130.307,1.0
20,131.299,1.0
21,132.299,1.0
22,133.298,1.0
23,134.299,1.0
24,135.296,1.0
25,136.298,1.0
26,137.297,1.0
27,138.298,1.0
28,139.298,0.0
29,140.3,0.0
30,141.299,0.0
31,142.312,0.0
32,143.299,0.0
33,144.3,0.0
34,145.3,0.0
35,146.301,0.0
36,147.302,0.0
37,148.301,0.0
38,149.299,0.0
39,150.301,0.0
40,151.3,0.0
41,152.302,0.0
42,153.302,0.0
43,154.302,0.0
44,155.299,0.0
45,156.301,0.0
46,157.302,0.0
47,158.303,0.0
48,159.303,0.0
49,160.3,0.0
50,161.302,0.0
51,162.302,0.0
