,time,mavros_armed_state
0,163.195,0.0
1,164.155,0.0
2,165.149,0.0
3,166.155,0.0
4,167.155,1.0
5,168.155,1.0
6,169.155,1.0
7,170.155,1.0
8,171.155,1.0
9,172.155,1.0
10,173.155,1.0
11,174.155,1.0
12,175.155,1.0
13,176.155,1.0
14,177.145,1.0
15,178.155,1.0
16,179.155,1.0
17,180.155,1.0
18,181.155,1.0
19,182.155,1.0
20,183.146,1.0
21,184.155,1.0
22,185.155,1.0
23,186.155,1.0
24,187.155,1.0
25,188.155,1.0
26,189.147,1.0
27,190.155,1.0
28,191.155,1.0
29,192.155,1.0
30,193.155,1.0
31,194.155,1.0
32,195.148,1.0
33,196.155,1.0
34,197.155,1.0
35,198.155,1.0
36,199.155,1.0
37,200.155,1.0
38,201.149,1.0
39,202.155,1.0
40,203.155,1.0
41,204.155,1.0
42,205.155,1.0
43,206.155,1.0
44,207.155,1.0
45,208.155,1.0
46,209.155,1.0
47,210.155,1.0
48,211.155,1.0
49,212.155,1.0
50,213.15,1.0
51,214.155,1.0
52,215.155,1.0
53,216.155,1.0
54,217.155,1.0
55,218.155,1.0
56,219.152,1.0
57,220.155,1.0
58,220.399,1.0
59,221.155,1.0
60,222.155,1.0
61,223.156,1.0
62,224.156,1.0
63,225.153,1.0
64,226.155,1.0
65,227.155,1.0
66,228.156,1.0
67,229.156,1.0
68,230.156,1.0
69,231.153,1.0
70,232.156,1.0
71,233.156,1.0
72,234.156,1.0
73,235.156,1.0
74,236.156,1.0
75,237.156,0.0
76,238.175,0.0
77,239.176,0.0
78,240.175,0.0
79,241.173,0.0
80,242.182,0.0
