,time,mavros_armed_state
0,122.153,0.0
1,122.853,0.0
2,123.853,0.0
3,124.854,0.0
4,125.854,0.0
5,126.854,0.0
6,127.855,0.0
7,128.855,0.0
8,129.857,0.0
9,130.853,0.0
10,131.855,0.0
11,132.858,1.0
12,133.856,1.0
13,134.857,1.0
14,135.856,1.0
15,136.854,1.0
16,137.856,1.0
17,138.856,1.0
18,139.857,1.0
19,140.857,1.0
20,141.857,1.0
21,142.864,1.0
22,143.857,1.0
23,144.858,1.0
24,145.858,1.0
25,146.857,1.0
26,147.858,1.0
27,148.856,1.0
28,149.865,1.0
29,150.858,1.0
30,151.859,1.0
31,152.86,1.0
32,153.857,1.0
33,154.857,1.0
34,155.859,1.0
35,156.86,1.0
36,157.86,1.0
37,158.862,1.0
38,159.858,1.0
39,160.858,1.0
40,161.437,1.0
41,161.86,1.0
42,162.861,1.0
43,163.862,1.0
44,164.86,1.0
