,time,mavros_armed_state
0,150.937,0.0
1,151.451,0.0
2,152.454,0.0
3,153.456,0.0
4,154.463,0.0
5,155.455,0.0
6,156.462,0.0
7,157.462,1.0
8,158.429,1.0
9,158.461,1.0
10,159.464,1.0
11,160.462,1.0
12,161.465,1.0
13,162.461,1.0
14,163.465,1.0
15,164.462,1.0
16,165.468,1.0
17,166.472,1.0
18,167.469,1.0
19,168.464,1.0
20,169.467,1.0
21,170.478,1.0
22,171.479,1.0
23,172.477,1.0
24,173.479,1.0
25,174.477,1.0
26,175.476,1.0
27,176.473,1.0
28,177.477,1.0
29,178.479,1.0
30,179.476,1.0
31,180.477,1.0
32,181.48,1.0
33,182.48,1.0
34,183.48,1.0
35,184.477,1.0
36,185.478,1.0
37,186.48,1.0
38,187.48,1.0
39,188.48,1.0
40,189.48,1.0
41,190.48,1.0
42,191.48,1.0
43,192.474,1.0
44,193.48,1.0
45,194.48,1.0
46,195.436,1.0
47,195.479,1.0
48,196.48,1.0
49,197.48,1.0
50,198.48,1.0
51,199.48,1.0
52,200.479,1.0
53,201.477,1.0
54,202.466,0.0
55,203.47,0.0
56,204.475,0.0
57,205.48,0.0
58,206.479,0.0
59,207.473,0.0
60,208.477,0.0
