,time,img_sim,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
0,117.914,0.988399071925754,-0.00047260434948503017,0.0005061031539123675,-0.7072165286851516,-0.7069966775319606,0.0004333337082061911,-0.00038416075869463363,-0.0003671809402294458,0.0,-0.0098066499999988,9.80665
1,117.957,0.9953810623556582,-0.00047361843550488663,0.0005062833530889206,-0.7072156950437926,-0.7069975106293002,0.0004189734660321867,-0.0003774850054178397,-0.00037102420337032467,0.0,-0.0098066499999988,9.80665
2,118.037,0.9954022988505747,-0.0004752325549142702,0.0005066168227880498,-0.707214334523865,-0.7069988702470462,0.00040112279320601293,-0.0003768926573684447,-0.00037836799689102975,0.0,-0.0098066499999988,9.80665
3,118.124,0.9954022988505747,-0.00047673286741431567,0.0005069778011520939,-0.7072130331644739,-0.7070001707281993,0.00039000665070489104,-0.0003873162786476309,-0.0003865354752633716,0.0,-0.0098066499999988,9.80665
4,118.224,0.9931662870159453,-0.0004784573645408051,0.0005073927188119148,-0.7072115373490819,-0.7070016655341224,0.0003772294754162426,-0.0003992974525317555,-0.0003959233814384792,0.0,-0.0098066499999988,9.80665
5,118.325,0.9863636363636363,-0.00047979304715589123,0.0005085634964902951,-0.7072094816789667,-0.7070037200520045,0.00038093475587794377,-0.00040458027121251624,-0.0003637477722776108,0.0,-0.0098066499999988,9.80665
6,118.435,0.9954233409610984,-0.0004811385551914062,0.000510040747800243,-0.70720709629904,-0.707006104141347,0.000389436962138898,-0.00040850032342773843,-0.00031750269890047915,0.0,-0.0098066499999988,9.80665
7,118.532,0.9977116704805492,-0.0004820676433540289,0.0005109906204036874,-0.7072049907512507,-0.7070082089684125,0.00039145762519911,-0.0004103644869755955,-0.00029467819351702834,0.0,-0.0098066499999988,9.80665
8,118.642,0.9885844748858448,-0.00048258036957905993,0.0005113264778699276,-0.7072025986535607,-0.7070106011257254,0.00038224097643978965,-0.00040913197817280905,-0.0003065236061811437,0.0,-0.0098066499999988,9.80665
9,118.732,0.9977116704805492,-0.00048299987285408536,0.0005116012703423061,-0.7072006414827234,-0.7070125583453452,0.0003747000820003454,-0.00040812356187962007,-0.000316215307451784,0.0,-0.0098066499999988,9.80665
10,118.852,0.9954233409610984,-0.0004847653459190373,0.0005122699434632856,-0.7071982373033983,-0.7070149614548921,0.0004078556165455019,-0.00040749536199699636,-0.00035291871461048155,0.0,-0.0098066499999988,9.80665
11,118.932,0.9908675799086758,-0.0004860660341536122,0.0005127467289447393,-0.7071966555819805,-0.7070165423467324,0.00043439110731554627,-0.0004071500344008844,-0.00037982674387503236,0.0,-0.0098066499999988,9.80665
12,119.017,0.9977272727272727,-0.0004880151909825118,0.0005124505507295054,-0.70719497542139,-0.7070182217999457,0.0004519032423850154,-0.00040391196100972646,-0.0003975185690214862,0.0,-0.0098066499999988,9.80665
13,119.132,0.9613636363636363,-0.0004927208082180335,0.0005091221159127013,-0.7071927037889306,-0.7070204931101308,0.0004366388909984373,-0.00038905973848886726,-0.0003817090813536189,0.0,-0.0098066499999988,9.80665
14,119.227,0.9931350114416476,-0.0004966080572386815,0.0005063725393249068,-0.7071908272229859,-0.7070223694098491,0.0004240292094182218,-0.0003767905111890281,-0.00036864906980190365,0.0,-0.0098066499999988,9.80665
