,time,img_sim,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
0,99.334,0.988,-0.00031085176180079954,0.00043936096645025004,-0.7076208122184806,-0.7065921712330168,0.00025397550666639393,-0.0002751315639670783,-0.00017490590380475892,0.0,-0.0098066499999988,9.80665
1,99.412,0.998,-0.00031313129973779884,0.0004387656005987888,-0.7076216887374819,-0.7065912927891491,0.0002622545125632327,-0.00026733099912234923,-0.00019694753427757297,0.0,-0.0098066499999988,9.80665
2,99.526,0.992,-0.000316462932107259,0.0004378954505081916,-0.7076229698037145,-0.7065900089096504,0.00027435459810476486,-0.0002559301735800543,-0.00022916222496860493,0.0,-0.0098066499999988,9.80665
3,99.612,0.97,-0.0003180582089371307,0.0004381582902975798,-0.7076239484911682,-0.7065890279158114,0.00028367332299239945,-0.0002511415779590608,-0.00024227479053661206,0.0,-0.0098066499999988,9.80665
4,99.732,0.996,-0.000316974891029185,0.0004418386868593026,-0.7076253583272772,-0.7065876141978844,0.0002973632060457027,-0.00025820084474980867,-0.00022023626649752154,0.0,-0.0098066499999988,9.80665
5,99.806,0.988,-0.0003163068449859519,0.0004441082647390315,-0.7076262277262111,-0.7065867424051628,0.0003058053005952392,-0.0002625540592707696,-0.00020664584334008327,0.0,-0.0098066499999988,9.80665
6,99.909,0.994,-0.00031551944761504995,0.0004471933952217883,-0.7076269335539631,-0.7065860339422896,0.0003006237975824762,-0.0002713276568452377,-0.00018710096508832875,0.0,-0.0098066499999988,9.80665
7,100.012,0.986,-0.0003147962532864398,0.00045024522922406914,-0.7076274120998785,-0.7065855530752913,0.00028781097695085566,-0.00028132464307506223,-0.00016727282894292775,0.0,-0.0098066499999988,9.80665
8,100.124,0.99,-0.00031439370104858555,0.00045420342485886746,-0.707627984029164,-0.7065849779443761,0.00028716362989507425,-0.00028754873585421615,-0.00015121216862462494,0.0,-0.0098066499999988,9.80665
9,100.212,0.98,-0.000314688728360293,0.0004583322574011824,-0.7076285155337568,-0.7065844428448155,0.00030781360692344606,-0.0002850389137165621,-0.00014735278091393408,0.0,-0.0098066499999988,9.80665
10,100.325,0.988,-0.00031506757024919003,0.0004636340537339272,-0.7076291980339725,-0.7065837557283342,0.00033433005469851187,-0.0002818160739261657,-0.00014239697623997925,0.0,-0.0098066499999988,9.80665
11,100.412,0.972,-0.00031400080204368346,0.0004667615007205777,-0.7076301406546212,-0.7065828101168123,0.0003271674184361469,-0.00024629216641187533,-0.0001473936979891734,0.0,-0.0098066499999988,9.80665
12,100.524,0.994,-0.000312347683234531,0.00047059104110899503,-0.707631440067794,-0.706581506969335,0.0003122661287197846,-0.0001937542222440254,-0.0001556413808139039,0.0,-0.0098066499999988,9.80665
13,100.612,0.98,-0.0003115683271580213,0.0004734861370746018,-0.7076320123647311,-0.7065809322413635,0.00029772018227147576,-0.00017759264020093005,-0.00017214159456181507,0.0,-0.0098066499999988,9.80665
14,100.73,0.992,-0.0003122787969151958,0.00047698356030101836,-0.7076312636643005,-0.706581679381891,0.00026862623923239095,-0.0002407982147231998,-0.00022812500555231797,0.0,-0.0098066499999988,9.80665
15,100.806,0.984,-0.0003127363876062573,0.00047923613797226937,-0.7076307814504638,-0.7065821605910442,0.00024988776744450884,-0.00028150688983923127,-0.00026418211771568677,0.0,-0.0098066499999988,9.80665
16,100.91,0.982,-0.00031501433446640733,0.00047961039723153846,-0.7076300986390418,-0.706582843145255,0.0002586362054571516,-0.0002762478212825946,-0.00026730716973543116,0.0,-0.0098066499999988,9.80665
17,101.012,0.952,-0.0003179684770183551,0.00047879695502738847,-0.7076294189591844,-0.7065835230600148,0.0002822071600239739,-0.00024451510654762185,-0.000250226575648411,0.0,-0.0098066499999988,9.80665
18,101.113,0.978,-0.0003206967743588357,0.0004789846237950705,-0.7076290547510227,-0.7065838864500854,0.0002969406817416354,-0.0002336011819432023,-0.00023897976217516893,0.0,-0.0098066499999988,9.80665
19,101.212,0.992,-0.0003227843735679807,0.00048212792511274726,-0.7076296179420936,-0.7065833193262734,0.00028573724650406753,-0.00028401221528063446,-0.0002448401807861191,0.0,-0.0098066499999988,9.80665
20,101.332,0.988,-0.0003253147968517925,0.00048593798731599137,-0.7076303005979371,-0.706582631903471,0.0002721573250039868,-0.0003451164981138783,-0.00025194371849636096,0.0,-0.0098066499999988,9.80665
21,101.412,0.982,-0.00033258725938817307,0.00048812956860500587,-0.7076306732900084,-0.7065822536705028,0.0002797525339847792,-0.00033183574564773463,-0.00023307254849783238,0.0,-0.0098066499999988,9.80665
22,101.519,0.988,-0.0003430305392885772,0.0004910161173676442,-0.7076311611960551,-0.7065817580504532,0.00029204635185200886,-0.0003071448815487167,-0.00020480469775284893,0.0,-0.0098066499999988,9.80665
23,101.628,0.982,-0.0003559237947128823,0.000493548306183139,-0.707631658846604,-0.7065812514661747,0.0003028898670354795,-0.00028781084827540684,-0.00018819333232690663,0.0,-0.0098066499999988,9.80665
24,101.747,0.982,-0.0003742462363146255,0.0004955438455050258,-0.707632203329756,-0.7065806952041674,0.00031156415215775066,-0.0002776604836604433,-0.0001930052030041251,0.0,-0.0098066499999988,9.80665
25,101.812,0.982,-0.0003842542926517117,0.0004966338459749639,-0.7076325007365196,-0.7065803913635753,0.00031630220705647003,-0.0002721161668539508,-0.0001956335357269754,0.0,-0.0098066499999988,9.80665
