,time,img_sim,orientation.x,orientation.y,orientation.z,orientation.w,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,ground_truth
0,213.397,1.0,-0.0007493897794399032,0.0006692407049490255,-0.7065983541252462,-0.7076141296470034,0.0006369381639327273,-0.0005489718444938559,-0.0005644340507790006,0.0,-0.019496089043824053,9.80665,1.0
1,213.49,1.0,-0.0007506093412925998,0.0006696682526993288,-0.7065941050788401,-0.7076183708278071,0.0006187554512384429,-0.0005310149381004004,-0.0005797431788006539,0.0,-0.015862549402389167,9.80665,1.0
2,213.58,1.0,-0.0007517895624403706,0.000670082008586719,-0.7065899930984471,-0.7076224751963267,0.0006011592776633318,-0.0005136372867518978,-0.0005945584639828968,0.0,-0.012346220717130138,9.80665,1.0
3,213.698,1.0,-0.0007538689159313363,0.0006702554561329823,-0.7065853152931979,-0.7076271437869923,0.0005967841260640105,-0.0004974583600531802,-0.0005865497633826038,0.0,-0.011894009236946524,9.80665,1.0
4,213.798,1.0,-0.0007561839565934289,0.0006700188973590482,-0.7065820925731374,-0.7076303594936199,0.0006125071373521286,-0.000490612320949784,-0.0005512504637836082,0.0,-0.01583242289156485,9.80665,1.0
5,213.9,1.0,-0.0007586015066002496,0.0006698395407009879,-0.7065787539807288,-0.7076336907293606,0.0006289570497263565,-0.00048677257236197184,-0.0005166395249650386,0.0,-0.019378878087648196,9.80665,1.0
6,213.98,1.0,-0.0007612029862164022,0.000670476070899874,-0.7065754902320537,-0.7076369461610711,0.0006470346702281272,-0.0005232052250479482,-0.0005069913755846322,0.0,-0.016253252589640912,9.80665,1.0
7,214.1,1.0,-0.0007651052056406319,0.0006714308661982034,-0.7065705946090409,-0.707641829308637,0.0006741511009807898,-0.0005778542040769255,-0.0004925191515140194,0.0,-0.011564814342628871,9.80665,1.0
8,214.177,1.0,-0.0007676010173648391,0.0006716000657076772,-0.7065674911813183,-0.7076449251697883,0.0006685616947845248,-0.0005965475303898895,-0.0004991250394106625,0.0,-0.011066942369476036,9.80665,1.0
9,214.3,1.0,-0.0007715696102128053,0.0006708741784117333,-0.7065626189626178,-0.7076497862866673,0.0006079916219529956,-0.0005896286234768278,-0.0005453767752402053,0.0,-0.015911191164657595,9.80665,1.0
10,214.38,1.0,-0.0007741508088131077,0.0006704020565932333,-0.7065594500398857,-0.7076529479887025,0.0005685964526316897,-0.0005851285214195536,-0.0005754592050480277,0.0,-0.019061922088351807,9.80665,1.0
11,214.495,1.0,-0.0007771302370207821,0.0006705992665727739,-0.7065548324058901,-0.7076575549717704,0.0006079168877022307,-0.0005752293061505044,-0.0005253479459952364,0.0,-0.015744270117186338,9.80665,1.0
12,214.574,1.0,-0.0007791073633352088,0.0006708181445185606,-0.7065516543590694,-0.7076607256760449,0.0006440649331125345,-0.0005681023349097808,-0.0004820342919629146,0.0,-0.012717999218748544,9.80665,1.0
13,214.7,1.0,-0.000782860202130247,0.0006709319156359975,-0.7065466849107961,-0.7076656830592954,0.0006735768875228331,-0.0005577938561138471,-0.000462629985181624,0.0,-0.0098066499999988,9.80665,1.0
14,214.783,1.0,-0.0007859325188866187,0.0006707712359233418,-0.7065435108467495,-0.7076688488211716,0.0006648396760342666,-0.0005520632837395516,-0.0004995890965919935,0.0,-0.0098066499999988,9.80665,1.0
15,214.9,1.0,-0.0007902450480682528,0.000670563080325737,-0.7065390354552127,-0.7076733125051524,0.0006521029844729851,-0.0005445728930945134,-0.0005507196699674729,0.0,-0.009964821774193092,9.80665,1.0
16,214.98,1.0,-0.000792839777852729,0.0006707751027182444,-0.7065359539467099,-0.7076763859216306,0.0006352739479963584,-0.0005508023520721301,-0.0005669746099175097,0.0,-0.01312825725806319,9.80665,1.0
17,215.077,1.0,-0.0007959858877164074,0.0006710321798691595,-0.7065322176176502,-0.7076801124391104,0.0006148687412684428,-0.0005583555710824927,-0.0005866837246069348,0.0,-0.01696392278225678,9.80665,1.0
18,215.18,1.0,-0.0007988368724114911,0.0006707868024214179,-0.7065284821952846,-0.7076838388235395,0.0006022246271169869,-0.0005645584160776204,-0.0005893230112830551,0.0,-0.018195471084336067,9.80665,1.0
19,215.271,1.0,-0.0008005504491768562,0.0006697176884121552,-0.7065255634739377,-0.7076867518299199,0.0006058904203028976,-0.0005670499786394215,-0.0005615826078548508,0.0,-0.014611514658633987,9.80665,1.0
20,215.38,1.0,-0.000802602975192514,0.000668437101302159,-0.7065220674230934,-0.7076902410353645,0.0006102813154376712,-0.0005700343777519093,-0.000528355091660618,0.0,-0.010318643775099418,9.80665,1.0
